lat,lng,name,tooltip
52.629553989418724,26.30752506907698,д. Хотыничи,
52.26378112532072 ,24.01560902597996,д. Дремлево,
52.14524602217851,24.71409521235412,д.  Вяда,
52.69713358454694,25.379586780191715,д. Затишье,
52.75645989819914,25.15497902995205,д. Тупичицы,
51.91232750076787,24.445996312310847,д.  Борисовка (Борисовна?),
53.126266761807294,27.484238983285135,д. Борки,
54.53327144991442,27.398202297041042,д. Заболотье,
51.84969449886447 ,24.25478550533255,д. Кортелизы,
55.66371782330806,27.046149641425608,д. Бобыли,
55.4347835370066,28.406805851588427,д. Быковщина,
55.377799949203045,26.73196899113649,д. Грабишки,
55.5348034518803,27.068539789855947,д. Дегтяри,
55.47401908397417,27.111537818102946,д. Заборье,
55.2765244702378,27.292112405388686,д. Кевличи,
55.9724454922015,26.942573512589714,д. Лабецкие,
55.73707035670395,27.208832664191938,д. Реповщина,
55.24290387744054,27.752086106910394,д. Рудово,
55.78194311660775,27.539693300544435,д. Стайки,
55.262021302744,30.615548557037506,д. Волчки,
55.84338213360968,27.944601598163548,д. Зеньки,
55.91563702157784,27.757266511153876,д. Росица,
55.03179280560114,27.01046413077699,д. Азарцы,
54.85142959801084,27.74968209368484,д. Золотухи,
54.83576717420725,27.883003417247604,д. Шуневка,
54.49688929909184,30.73783810410598,д. Посудьево,
55.27651522091024,27.292667648554747,д. Кевличи,
55.28919594907128,27.300874567551155,д. Стаховские,
55.59400445561411,27.801121839574346,д. Суховежа,
54.96430764376154,30.663797385129016,д. Чарбомыслы,
55.89034450933115,28.66942075241664,д. Велье,
55.72168632800683,29.7733604780952,д. Волково,
55.86955210851388,28.344121654869987,д. Морочково,
55.46695091354445,28.181429139339137,д. Нивье,
55.5514817046578,28.45792760777369,д. Плиговки,
55.0696182813305,30.29086133134007,д. Рожново,
54.75038146673417,29.95526777119469,д. Борок (Борки?),
54.76065833124537,29.917547053225608,д. Земковичи,
54.74124849889201,29.99109666423879,д. Луги,
54.752622305630375,29.884817289014983,д. Шинково,
55.41210210808917,27.671358561828157,д. Белково,
55.451831085293904,27.22974096986499,д. Еды,
55.43394950520709,27.843284849624947,д. Игнацево,
55.369469626698205,27.55622118313158,д. Журавовщина,
55.381363653246886,27.16405607746679,д. Куштали,
54.650665320986384,30.405122357664148,д. Селибка,
55.11868538894205,30.0384737396191,д. Строна,
55.37666421815451,28.318952467903827,д. Степаниха,
55.63657914991627,28.83384931034115,д. Сухоборец,
55.388781834338324,27.179987691894464,д. Трабовщина,
55.70521444115917,30.004103336458584,д. Дражаки,
55.278392006349605,29.460978884807226,д. Залесье,
55.2976970210744,29.56260942744322,д. Зуево,
54.68984996715994,30.1885726821272,д. Бортники,
54.77888516535388,29.797825067972624,д. Морозовка,
55.23164560496958,29.74976748807793,д. Амбразеево,
55.540060334948784,29.904779323556614,д. Аниськово,
55.937571284242225,28.001372050419178,д. Барково,
55.58408862355191,28.792208918419,д. Булы,
55.55060762526358,28.16146254448353,д. Бушаново,
54.85979115991209,28.70084012266207,д. Великое Поле,
55.98884695087348,28.13210591688102,д. Галковщина,
56.02268100341929,28.26872077752707,д. Городиловичи,
55.64075541797726,28.11596294701546,д. Давыденки,
54.96404085504581,27.93515542513469,д. Дедино,
54.97177783780739,29.131186245020363,д. Демидове,
55.155555002213674,30.11236597404118,д. Добреники,
55.63238645665566,30.160460040349633,д. Дуброво,
55.06731160511993,29.75393049056916,д. Дубровы,
55.42521514863963,28.47917316483037,д. Жерносеки,
54.48027337423043,29.890690396452367,д. Затлойщиба (Затлойщина),
54.43614208368035,29.561713717451724,д. Калюты,
55.12317917576552,27.507658149587005,д. Константиново,
55.44836489343077,28.175553535693943,д. Кураши,
55.28099677789166,27.97451755343896,д. Маркове,
55.78217643586972,30.01008260920587,д. Огурки,
55.73619718847806,29.95654583592648,д. Осетки,
55.014143823528414,29.375986575463283,д. Попущево,
55.98278814037657,28.15979829281517,д. Рагелово,
55.368913112105226,30.32491934021798,д. Рубаны,
55.20062876684239,28.432428633401507,д. Селище,
55.49604436271365,28.03115209541372,д. Соколово,
55.93016678448491,28.040674502103318,д. Шевроки,
52.61701218256269,29.519635128472395,д. Ола,
52.93253388369224,28.236053367466088,д. Пасека,
53.12631483495456,27.486525327575364,д. Борки,
53.86372842624679,27.20711770872354,д. Глухое Перхурово,
53.555368914671405,27.28171288599948,д. Литавец,В настоящее время здесь находится Памятник жертвам войны
53.69838497710687,27.06549748831695,д. Садковщина,
53.840994171739645,27.056644933385655,д. Скирмонтово,
53.23128446690856,27.26535236812543,д. Старица,
54.535804034272985,27.8879906418177, д. Дальва,"В настоящее время является Мемориальным комплексом ""Дальва"""
54.33470319306888,27.944529091562917,д. Хатынь,"Памятный комплекс на месте уничтоженной нацистами деревни: скульптура, символические надгробия и вечный огонь."
54.187372599833864,27.363521331757504,д. Бахметовка,
54.093355912121254,27.09574870759698,д. Дуброво,
54.17258211193681,27.42397167931405,д. Каменец,
53.87387893947529,27.272915770004904,д. Козловка,
54.075857608466244,27.445361499922786,д. Колоницы,
54.11429977784018,27.289971398604365,д. Огарки,